"Predictor","B","SE","CI_95","z","p"
"Intercept","-0.638","0.123","[-0.879, -0.397]","-5.18","< .001"
"Drug: Bisoprolol (vs Placebo)","0.590","0.117","[0.360, 0.820]","5.02","< .001"
"Drug: Propranolol (vs Placebo)","0.616","0.111","[0.400, 0.833]","5.58","< .001"
"Listen BPM (Centered)","-0.080","0.019","[-0.118, -0.042]","-4.12","< .001"
"Response BPM (Centered)","0.259","0.017","[0.225, 0.293]","15.06","< .001"
"Trial Number","0.013","0.002","[0.009, 0.017]","7.10","< .001"
"Visit 2 (vs Visit 1)","0.629","0.097","[0.440, 0.819]","6.51","< .001"
"Visit 3 (vs Visit 1)","0.227","0.096","[0.039, 0.415]","2.37","0.02"
"Bisoprolol × Listen BPM","0.031","0.015","[0.002, 0.060]","2.12","0.03"
"Propranolol × Listen BPM","0.059","0.015","[0.029, 0.088]","3.92","< .001"
