"Predictor","B","SE","CI_95","z","p"
"Intercept","-9.774","1.160","[-12.048, -7.500]","-8.42","< .001"
"Drug: Bisoprolol (vs Placebo)","-0.687","0.624","[-1.910, 0.535]","-1.10","0.27"
"Drug: Propranolol (vs Placebo)","-3.293","0.590","[-4.449, -2.137]","-5.58","< .001"
"Listen BPM (Heart Rate)","-0.084","0.017","[-0.118, -0.050]","-4.81","< .001"
"Response BPM (Tone)","0.262","0.017","[0.228, 0.296]","15.12","< .001"
"Trial Number","0.013","0.002","[0.010, 0.017]","7.24","< .001"
"Visit 2 (vs Visit 1)","0.694","0.098","[0.503, 0.886]","7.10","< .001"
"Visit 3 (vs Visit 1)","0.238","0.098","[0.047, 0.430]","2.44","0.01"
"Bisoprolol × Listen BPM","0.022","0.010","[0.001, 0.042]","2.10","0.04"
"Propranolol × Listen BPM","0.067","0.010","[0.048, 0.086]","6.85","< .001"
