"Predictor","B","SE","CI_95","z","p"
"Intercept","0.36","0.09","[0.19, 0.54]","4.05","< .001"
"Drug: Bisoprolol (vs Placebo)","0.07","0.09","[-0.10, 0.25]","0.83","0.41"
"Drug: Propranolol (vs Placebo)","0.20","0.09","[0.03, 0.37]","2.30","0.02"
"Listen BPM (Scaled)","-0.29","0.08","[-0.44, -0.14]","-3.70","< .001"
"Response BPM (Scaled)","3.36","0.16","[3.05, 3.68]","20.78","< .001"
"Trial Number (Scaled)","0.28","0.04","[0.21, 0.36]","7.86","< .001"
"Visit 2 (vs Visit 1)","-0.04","0.09","[-0.21, 0.13]","-0.45","0.65"
"Visit 3 (vs Visit 1)","-0.19","0.09","[-0.36, -0.02]","-2.18","0.03"
"Bisoprolol × Listen BPM","0.09","0.09","[-0.09, 0.27]","1.03","0.30"
"Propranolol × Listen BPM","0.19","0.09","[0.01, 0.37]","2.05","0.04"
